Summary_Sentence,Country_A,Country_B,Country_Pair
" Both countries are members of the Council of Europe, the Organization for Security and Co-operation in Europe, and the World Trade Organization (WTO).",Austria,Russia,Austria_Russia
"Both nations are members of the  Latin American Integration Association, Organization of American States, Organization of Ibero-American States and the Rio Group.",Mexico,Uruguay,Mexico_Uruguay
"Since the end of the Cold War, relations between the two countries have warmed significantly.",Philippines,Vietnam,Philippines_Vietnam
Vietnam is sometimes referred to as the only communist military ally of the Philippines.,Philippines,Vietnam,Philippines_Vietnam
"Both nations have cooperated in the fields of education, tourism, agriculture, aquaculture, trade, and defense.",Philippines,Vietnam,Philippines_Vietnam
"Additionally, both nations have similar positions on the South China Sea issue, with Vietnam backing the Philippine victory in the ICC against China, and the Philippines backing to a certain extent the claim of Vietnam in the Paracels.",Philippines,Vietnam,Philippines_Vietnam
"Both nations have overlapping claims in the Spratlys, but have never made military confrontations as both view each other as diplomatic allies and ASEAN brethren.",Philippines,Vietnam,Philippines_Vietnam
Iceland has an embassy in Oslo and Norway has an embassy in Reykjavík.,Iceland,Norway,Iceland_Norway
"Both countries are full members of Council of Europe, Nordic Council, NATO, Council of the Baltic Sea States, and the European Free Trade Association.",Iceland,Norway,Iceland_Norway
Brunei–Malaysia relations (Malay: Hubungan Brunei–Malaysia; Jawi: هوبوڠن بروني–مليسيا) are foreign relations between Brunei and Malaysia.,Brunei,Malaysia,Brunei_Malaysia
"Brunei has a high commission in Kuala Lumpur, as well as consulate-generals in Kota Kinabalu and Kuching.",Brunei,Malaysia,Brunei_Malaysia
Malaysia maintains a high commission in Bandar Seri Begawan.,Brunei,Malaysia,Brunei_Malaysia
Both countries are full members of ASEAN and the Commonwealth of Nations.,Brunei,Malaysia,Brunei_Malaysia
The two countries share a land border on the island of Borneo.,Brunei,Malaysia,Brunei_Malaysia
Relations were formally established in 1983.,Bhutan,Nepal,Bhutan_Nepal
"The two Himalayan countries are both landlocked, separated only by the Sikkim.",Bhutan,Nepal,Bhutan_Nepal
Both countries are bordered by India and the People's Republic of China.,Bhutan,Nepal,Bhutan_Nepal
"However, the current state of relations remains strained owing to the Bhutanese refugee crisis.",Bhutan,Nepal,Bhutan_Nepal
"The High Commissioner of India in Georgetown, Guyana is concurrently accredited to Antigua and Barbuda.",Antigua and Barbuda,India,Antigua and Barbuda_India
Antigua and Barbuda maintains an Honorary Consulate General in New Delhi.,Antigua and Barbuda,India,Antigua and Barbuda_India
"In July 2005, Antigua and Barbuda expressed support for the G4 nations' resolution on reforms of the United Nations.",Antigua and Barbuda,India,Antigua and Barbuda_India
"Antigua and Barbuda Prime Minister, Baldwin Spencer, visited India in January 2007, and was the chief guest at the convocation of Manipal University.",Antigua and Barbuda,India,Antigua and Barbuda_India
"Antiguan and Barbudan member of Parliament, Michael Ascot, made an official visit to India in the first week of April 2012.Governor-General of Antigua and Barbuda, Sir Rodney Williams visited India between 4 and 21 October 2015 to participate in the 16th International Conference of Chief Justices of the World held in Lucknow.",Antigua and Barbuda,India,Antigua and Barbuda_India
Williams also visited a hospital in Hyderabad run by Livlife hospitals.,Antigua and Barbuda,India,Antigua and Barbuda_India
"Secretary (AMS, CPV& SA) in the Ministry of External Affairs R. Swaminathan visited Antigua and Barbuda in July 2015, and held discussions with Prime Minister Gaston Browne, the Minister of Foreign Affairs & International Trade, and the Minister of Health.",Antigua and Barbuda,India,Antigua and Barbuda_India
"As founding members of the Arctic Council, their relations are close, positive and constructive.",Canada,Sweden,Canada_Sweden
"Both countries have strong commitments to peacekeeping, UN reform, development assistance, environmental protection, sustainable development, and the promotion and protection of human rights.",Canada,Sweden,Canada_Sweden
"In addition, there are more than 300,000 Canadians of Swedish descent.",Canada,Sweden,Canada_Sweden
Canada has an embassy in Stockholm and honorary consulates in Göteborg and Malmö.,Canada,Sweden,Canada_Sweden
"Sweden has an embassy in Ottawa and honorary consulates in Calgary, Edmonton, Fredericton, Halifax, Montreal, Quebec City, Regina, Toronto, Vancouver and Winnipeg.",Canada,Sweden,Canada_Sweden
Papua New Guinea is Australia's closest neighbour (roughly 6 km separates the two countries at Boigu Island) and a former dependent territory of Australia.,Australia,Papua New Guinea,Australia_Papua New Guinea
Both nations share the same continent.,Australia,Papua New Guinea,Australia_Papua New Guinea
"Papua New Guinea has developed much closer relations with Australia than with Indonesia, the only country with which it shares a land border.",Australia,Papua New Guinea,Australia_Papua New Guinea
"The two countries are Commonwealth realms, and Papua New Guinea benefits from economic development aid from Australia.",Australia,Papua New Guinea,Australia_Papua New Guinea
"India–United States relations, also known as Indian–American relations or Indo–American relations, refers to the international relations between the Republic of India and the United States of America.",India,United States,India_United States
Prominent leaders of India's freedom movement had friendly relations with the United States of America which continued well after independence from the United Kingdom in 1947.,India,United States,India_United States
"In 1954, the United States made Pakistan a Central Treaty Organization (CENTO) treaty-ally.",India,United States,India_United States
India cultivated strategic and military relations with the Soviet Union to counter Pakistan–United States relations.,India,United States,India_United States
"In 1961, India became a founding member of the Non-Aligned Movement to avoid involvement in the Cold War power-play between the United States and the Soviet Union.",India,United States,India_United States
The Nixon administration's support for Pakistan during the Indo-Pakistani War of 1971 affected relations until the dissolution of the Soviet Union in 1991.,India,United States,India_United States
"In the 1990s, Indian foreign policy adapted to the unipolar world and developed closer ties with the United States.",India,United States,India_United States
"In the twenty-first century, Indian foreign policy has sought to leverage India's strategic autonomy in order to safeguard sovereign rights and promote national interests within a multi-polar world.",India,United States,India_United States
"Under the administrations of Presidents George W. Bush and Barack Obama, the United States has demonstrated accommodation to India's core national interests and acknowledged outstanding concerns.",India,United States,India_United States
"Increase in bilateral trade & investment, co-operation on global security matters, inclusion of India in decision-making on matters of global governance (United Nations Security Council), upgraded representation in trade & investment forums (World Bank, IMF, APEC), admission into multilateral export control regimes (MTCR, Wassenaar Arrangement, Australia Group) and support for admission in the Nuclear Suppliers Group and joint-manufacturing through technology sharing arrangements have become key milestones and a measure of speed and advancement on the path to closer US–India relations.",India,United States,India_United States
"In 2016, India and United States signed the Logistics Exchange Memorandum of Agreement and India was declared a Major Defense Partner of the United States.",India,United States,India_United States
"According to Gallup's annual World Affairs survey, India is perceived by Americans as their sixth favorite nation in the world, with 71% of Americans viewing India favorably in 2015.",India,United States,India_United States
"Gallup polls found that 74% of Americans viewed India favorably in 2017 and 72% in 2019.In the year 2017, bilateral trade (in both goods & services) grew by 9.8% to reach US$126,100,000,000.",India,United States,India_United States
"India's exports to the US stood at US$76,700,000,000 while USA's exports to India stood at US$49,400,000,000",India,United States,India_United States
Iran–North Korea relations (Korean: 이란-조선민주주의인민공화국 관계; Persian: روابط ایران و کره‌ی شمالی‎) are described as being positive by official news agencies of the two countries.,Iran,North Korea,Iran_North Korea
Diplomatic relations improved following the Iranian Revolution in 1979 and the establishment of an Islamic Republic.,Iran,North Korea,Iran_North Korea
"Iran and North Korea pledge cooperation in educational, scientific, and cultural spheres.",Iran,North Korea,Iran_North Korea
" Some media reports claim this cooperation extends to nuclear cooperation, though official U.S. government publications and academic studies have disputed this.",Iran,North Korea,Iran_North Korea
" The United States has been greatly concerned by North Korea's arms deals with Iran, which started during the 1980s with North Korea acting as a third party in arms deals between the Communist bloc and Iran, as well as selling domestically produced weapons to Iran, and North Korea continues selling missiles to Iran.",Iran,North Korea,Iran_North Korea
"North Korea and Iran are the remaining two members of George W. Bush's ""Axis of evil"", which has led to many of the concerns regarding Iran–North Korea relations.",Iran,North Korea,Iran_North Korea
"The United States of America designates both nations as State Sponsors of Terrorism, and they reciprocate this shared enmity.",Iran,North Korea,Iran_North Korea
"Despite this, Iran is one of the only countries in the world that has a good relationship with both North and South Korea.",Iran,North Korea,Iran_North Korea
"After Pakistan gained its independence in August 1947, Iran was the first country to recognize its sovereign status.",Iran,Pakistan,Iran_Pakistan
"Pakistan's relations with Iran strained at times due to sectarian tensions, as Pakistani Shias claimed that they were being discriminated against under the Pakistani government's Islamisation programme.",Iran,Pakistan,Iran_Pakistan
"Iran and Saudi Arabia used Pakistan as a battleground for their proxy sectarian war, and by the 1990s Pakistan's support for the Sunni Taliban organisation in Afghanistan became a problem for Shia Iran, which opposed a Taliban-controlled Afghanistan.",Iran,Pakistan,Iran_Pakistan
"Nevertheless, economic and trade relations continued to expand in both absolute and relative terms, leading to the signing of a Free Trade Agreement between the two countries in 1999.",Iran,Pakistan,Iran_Pakistan
Both countries are founding members of the Economic Cooperation Organization (ECO).,Iran,Pakistan,Iran_Pakistan
"At present, both countries are cooperating and forming alliances in a number of areas of mutual interest, such as fighting the drug trade along their common border and combating the Balochistan insurgency along their border.",Iran,Pakistan,Iran_Pakistan
Iran has expressed an interest joining the China–Pakistan Economic Corridor.,Iran,Pakistan,Iran_Pakistan
Pakistan is also the only country where Iran is viewed positively as per the polls conducted by Pew Research Center.,Iran,Pakistan,Iran_Pakistan
Polls have consistently shown that a very high proportion of Pakistanis view their western neighbor positively.,Iran,Pakistan,Iran_Pakistan
"Ayatollah Khamenei has also called for the sympathy and assistance of many Muslim nations, including Pakistan.",Iran,Pakistan,Iran_Pakistan
Relations between India and Portugal began amicably in 1947 when the former achieved independence.,India,Portugal,India_Portugal
"Relations went into decline after 1950 over Portugal's refusal to surrender its exclaves of Goa, Daman and Diu on India's west coast.",India,Portugal,India_Portugal
"By 1955, the two nations had cut off diplomatic relations, triggering a crisis which precipitated in the Indian annexation of Portuguese India in 1961.",India,Portugal,India_Portugal
"Portugal refused to recognise Indian sovereignty over the annexed territories until 1974 when, following the Carnation Revolution, the new government in Lisbon recognised Indian sovereignty and restored diplomatic relations.",India,Portugal,India_Portugal
"Japan–United States relations (米日関係, Beinichi Kankei) refers to international relations between Japan and the United States.",Japan,United States,Japan_United States
"Relations began in the late 18th and early 19th century, with the diplomatic but force-backed missions of U.S. ship captains James Glynn and Matthew C. Perry to the Tokugawa shogunate.",Japan,United States,Japan_United States
The countries maintained relatively cordial relations after that.,Japan,United States,Japan_United States
Potential disputes were resolved.,Japan,United States,Japan_United States
Japan acknowledged American control of Hawaii and the Philippines and the United States reciprocated regarding Korea.,Japan,United States,Japan_United States
Disagreements about Japanese immigration to the U.S. were resolved in 1907.,Japan,United States,Japan_United States
"The two were allies against Germany in World War I.Starting in 1931, tensions escalated.",Japan,United States,Japan_United States
"Japanese actions against China in 1931 and especially after 1937 during the Second Sino-Japanese War caused the United States, along with its allies Britain and the Netherlands, to cut off the oil and steel Japan needed for their military conquests.",Japan,United States,Japan_United States
"Japan responded with attacks on the Allies, including the surprise attack on Pearl Harbor on December 7, 1941, which heavily damaged the US naval base at Pearl Harbor, opening the Pacific theater of World War II.",Japan,United States,Japan_United States
The United States made a massive investment in naval power and systematically destroyed Japan's offensive capabilities while island hopping across the Pacific.,Japan,United States,Japan_United States
"To force a surrender, the Americans systematically bombed Japanese cities, culminating in the atomic bombings of Hiroshima and Nagasaki in August 1945.",Japan,United States,Japan_United States
"Japan surrendered, and was subjected to seven years of military occupation by the United States, during which the American occupiers under General Douglas MacArthur eliminated the military factor and rebuilt the economic and political systems so as to transform Japan into a democracy.",Japan,United States,Japan_United States
"In the 1950s and 1960s Japan, while neutral, grew rapidly by supplying American wars in Korea and Vietnam.",Japan,United States,Japan_United States
" The trade relationship has particularly prospered since then, with Japanese automobiles and consumer electronics being especially popular, and Japan became the world's second economic power after the United States. (",Japan,United States,Japan_United States
In 2010 it dropped to third place after China).,Japan,United States,Japan_United States
"From the late 20th century and onwards, the United States and Japan have firm and very active political, economic and military relationships.",Japan,United States,Japan_United States
The United States considers Japan to be one of its closest allies and partners.,Japan,United States,Japan_United States
" Japan is one of the most pro-American nations in the world, with 85% of Japanese people viewing the U.S. and 87% viewing Americans favorably in 2011, 73% viewing Americans favorably and 69% viewing the U.S. favorably in 2013, and 75% viewing Americans favorably and 57% viewing the U.S. favorably in 2017.",Japan,United States,Japan_United States
"Most Americans generally perceive Japan positively, with 81% viewing Japan favorably in 2013, the most favorable perception of Japan in the world, after Indonesia.",Japan,United States,Japan_United States
"In recent years, Japanese Prime Minister Shinzō Abe has enjoyed good relations with U.S. Presidents Barack Obama and Donald Trump, with several friendly meetings in the United States and Japan, and other international conferences.",Japan,United States,Japan_United States
"In May 2019, President Trump became the first foreign leader to meet the new Emperor Naruhito.",Japan,United States,Japan_United States
"According to the U.S. State Department, relations as of August 2011 are ""the best they have been in decades.""",New Zealand,United States,New Zealand_United States
New Zealand is a major non-NATO ally of the United States.,New Zealand,United States,New Zealand_United States
Both the United States and New Zealand share some common ancestry and history (having both been British colonies).,New Zealand,United States,New Zealand_United States
Both countries had native peoples who were at times dispossessed of their land by the process of colonization.,New Zealand,United States,New Zealand_United States
Both states have also been part of a Western alliance of states in various wars.,New Zealand,United States,New Zealand_United States
"Together with three other Anglophone countries, they comprise the Five Eyes espionage and intelligence alliance.",New Zealand,United States,New Zealand_United States
"Both countries have a friendly relationship due to same religious, social and economical aspects.",Maldives,Pakistan,Maldives_Pakistan
"As both countries have Islam as the state religion, and are members of the Organization of Islamic Cooperation.",Maldives,Pakistan,Maldives_Pakistan
Both Pakistan and the Maldives were part of the British Empire.,Maldives,Pakistan,Maldives_Pakistan
"Fiji has a high commission in New Delhi, whilst India has a high commission in Suva.",Fiji,India,Fiji_India
There are strong cultural links between the countries as 38 percent of Fiji's population is of Indian descent.,Fiji,India,Fiji_India
" India has used its influence in international forums such as the Commonwealth of Nations and United Nations on behalf of ethnic Indians in Fiji, lobbying for sanctions against Fiji in the wake of the 1987 coups and the  2000 coup, both of which removed governments, one dominated and one led, by Indo-Fijians.",Fiji,India,Fiji_India
"On 20 October 1947, two months and six days after Pakistan's independence, the United States established relations with Pakistan, making it amongst the first nations to establish relations with the new state.",Pakistan,United States,Pakistan_United States
"Pakistan allied itself with the United States during the Cold war era against the Soviet Union, and was an integral player in the CENTO and SEATO alliances.",Pakistan,United States,Pakistan_United States
"Relations worsened in the 1970s following the election of the left-oriented Pakistan Peoples Party under Zulfikar Ali Bhutto, and then quickly improved and deepened during Operation Cyclone in the 1980s, which was directed against Soviet expansion in Central Asia and South Asia.",Pakistan,United States,Pakistan_United States
"Pakistan became a logistics hub, supplying and training Muslim mujahideen in Afghanistan to combat the Soviet Union.",Pakistan,United States,Pakistan_United States
"Relations once again soured after the collapse of the Soviet Union, when the United States approved sanctions against Pakistan by passing the Pressler amendment, and made the lifting of sanctions conditional on Pakistan abandoning its nuclear weapons program.",Pakistan,United States,Pakistan_United States
"Pakistan's nuclear program,  which was initiated after the war with India in 1971 and accelerated after India detonated a nuclear bomb in 1974, is a contentious issue since it's seen by the Pakistani administration as the only means by which it can defend itself against an increasingly powerful India.",Pakistan,United States,Pakistan_United States
"The sanctions were lifted when Pakistan assumed an important role in American geopolitical interests in the region following the September 11 attacks, and the subsequent War on Terror.",Pakistan,United States,Pakistan_United States
Relations were strengthened as the United States named Pakistan a major non-NATO ally in 2002—which allowed for the release of over $25 billion of aid to Pakistan.,Pakistan,United States,Pakistan_United States
American recovery efforts following the 2005 Kashmir earthquake were widely appreciated by the Pakistani public.,Pakistan,United States,Pakistan_United States
"Relations began to sour yet again in the late 2000s as both sides began to criticize one another's strategy in the War on Terror, with the United States government frequently accusing Pakistan of harboring members of the Afghan Taliban and Quetta Shura, while Pakistan had alleged that the United States had done little to control security in eastern Afghanistan, where Pakistan's most-wanted terrorist, Mullah Fazlullah was believed to be hiding.",Pakistan,United States,Pakistan_United States
"In 2011, as a result of the Raymond Allen Davis incident in Lahore, the secret U.S. operation in Abbottabad which resulted in the death of Osama bin Laden, and the Malala incident, relations between the two countries reached a low point.",Pakistan,United States,Pakistan_United States
Public opinion in Pakistan after 2011 frequently ranked the U.S. one of its least favored countries.,Pakistan,United States,Pakistan_United States
"In 2015, according to Gallup's annual World Affairs survey, only 15% of Americans had a favorable view of Pakistan due to terrorism rise.",Pakistan,United States,Pakistan_United States
"Despite the instability of the relationship,both the countries are back to good relations and are allies against the terrorism,refPakistan–NATO relations ,the United States today engages in extensive economic, social, and scientific assistance as well as vital [[Pakistan–United States military] while Pakistan continues to occupy a position in the United States' interests in Central and South Asia.",Pakistan,United States,Pakistan_United States
"The United States is the second-largest supplier of military equipment to Pakistan after China, and is one of Pakistan's largest donors of foreign assistance.",Pakistan,United States,Pakistan_United States
"On 21 July 2019, Pakistani Prime Minister Imran Khan met with U.S. President Donald Trump in the White House.",Pakistan,United States,Pakistan_United States
Both sides agreed to 'reset' the relationship between the two countries and agreed to the resumption of military aid to Pakistan.,Pakistan,United States,Pakistan_United States
"President Trump lauded Pakistan's efforts to end the war in Afghanistan due to Pakistan's participation in the Afghan peace process, and Imran Khan stated that there is no military solution for the Afghanistan quagmire and that Pakistan would assist the peace process in any way it could.",Pakistan,United States,Pakistan_United States
"Belarus–Ukraine relations (Belarusian: Беларуска-ўкраінскія адносіны, Byelaruska-ŭkrainskiya adnosiny, Ukrainian: Українсько-білоруські відносини, Ukrains'ko-Bilorus'ki vidnosyny, Russian: Белорусско-украинские отношения, Belorussko-ukrainskiye otnosheniya) are foreign relations between Belarus and Ukraine.",Belarus,Ukraine,Belarus_Ukraine
Both countries are full members of the Baku Initiative and Central European Initiative.,Belarus,Ukraine,Belarus_Ukraine
"Australia has a high commission in Bandar Seri Begawan, and Brunei has a high commission in Canberra.",Australia,Brunei,Australia_Brunei
"Ireland and the North Atlantic Treaty Organization  have had a formal relationship since 1999, when Ireland joined as a member of the NATO Partnership for Peace (PfP) programme and signed up to NATO's Euro-Atlantic Partnership Council (EAPC).",Ireland,NATO,Ireland_NATO
"To date, Ireland has not sought to join as a full NATO member due to its traditional policy of military neutrality.",Ireland,NATO,Ireland_NATO
"The Republic of China government recognized the formation of the Provisional Government of the Republic of Korea on April 13, 1919, as one of the participants of the Cairo Conference, which resulted in the Cairo Declaration.",South Korea,Taiwan,South Korea_Taiwan
"One of the main purposes of the Cairo Declaration was to create an independent Korea, free from Japanese colonial rule.",South Korea,Taiwan,South Korea_Taiwan
"Bilateral diplomatic relations between the Government of Republic of Korea and the Republic of China began in 1948, just after the foundation of the First Republic.",South Korea,Taiwan,South Korea_Taiwan
"After the Chinese Civil War in 1949, the Republic of Korea maintained relations with the Republic of China (Taiwan).",South Korea,Taiwan,South Korea_Taiwan
"Diplomatic relations between South Korea and Republic of China (Taiwan) were terminated on 23 August 1992, followed by South Korean recognition of the People's Republic of China (PRC, Communist China) and formation of bilateral recognition between them.",South Korea,Taiwan,South Korea_Taiwan
Both countries have strong non-diplomatic relations.,South Korea,Taiwan,South Korea_Taiwan
South Korea sent military personnel in the Political Warfare training in Fu Hsing Kang College.,South Korea,Taiwan,South Korea_Taiwan
El Salvador–Spain refers to the current and historical relations between El Salvador and Spain.,El Salvador,Spain,El Salvador_Spain
"Both nations are members of the Association of Academies of the Spanish Language, Organization of Ibero-American States and the United Nations.",El Salvador,Spain,El Salvador_Spain
The Philippines was actively involved in the United Nations peacekeeping forces in East Timor during its move towards independence.,East Timor,Philippines,East Timor_Philippines
"When several nations recognized East Timor's sovereignty, the Philippines began official diplomatic relations between the two governments with the establishment of an embassy in Dili and East Timor established its embassy in Manila.",East Timor,Philippines,East Timor_Philippines
The Philippines has maintained strong ties with the newly born independent country sending peacekeepers to the country since 1999 amid its struggle for independence from Indonesia.,East Timor,Philippines,East Timor_Philippines
"Both countries share a special relationship, embedded in their shared history of colonial interactions for centuries.",Indonesia,Netherlands,Indonesia_Netherlands
"It began during the spice trade as the Netherlands established the Dutch East Indies Company (VOC) trading post in what is now Indonesia, before colonising it as the Dutch East Indies until the mid 20th century.",Indonesia,Netherlands,Indonesia_Netherlands
Indonesia was the largest former Dutch colony.,Indonesia,Netherlands,Indonesia_Netherlands
"In the early 21st century, the Dutch government has committed to boosting its relationship with Indonesia, noting that economic, political, and interpersonal contacts should be further strengthened.",Indonesia,Netherlands,Indonesia_Netherlands
India is a close ally of Bahrain.,Bahrain,India,Bahrain_India
"As per Indian officials, the Kingdom along with its GCC partners are amongst the world's most prominent supporters of India's candidacy for a permanent seat on the UN Security Council, and Bahraini officials have urged India to play a greater role in international affairs.",Bahrain,India,Bahrain_India
"For instance, over concerns about Iran's nuclear programme, Bahrain's Crown Prince requested India to play an active role in resolving the crisis.",Bahrain,India,Bahrain_India
"Relations between India and Bahrain go back generations, with many of Bahrain's most prominent figures having close ties: poet and constitutionalist Ebrahim Al-Arrayedh grew up in Bombay, while 17th century Bahraini theologians Sheikh Salih Al-Karzakani and Sheikh Ja`far bin Kamal al-Din were influential figures in the Kingdom of Golkonda and the development of Shia thought in the sub-continent.",Bahrain,India,Bahrain_India
"Mohammed Hasan Kamaluddin was Bahrain's first consul general to India in 1974, serving from the consulate in Mumbai.",Bahrain,India,Bahrain_India
"Bahraini politicians have sought to enhance these long standing ties, with Parliamentary Speaker Khalifa Al-Dhahrani in 2007 leading a delegation of parliamentarians and business leaders to meet Indian President Pratibha Patil, opposition leader L K Advani, and take part in training and media interviews.",Bahrain,India,Bahrain_India
"Politically, it is easier for Bahrain's politicians to seek training and advice from India than it is from the United States or other western alternative.",Bahrain,India,Bahrain_India
"In December 2007, the Bahrain India Society was launched in Manama to promote ties between the two countries.",Bahrain,India,Bahrain_India
"Headed by the former Minister of Labour Abdulnabi Al-Shoala, the Society seeks to take advantage of the development in civil society to actively work to strengthen ties between the two countries, not only business links, but according to the body's opening statement in politics, social affairs, science and culture.",Bahrain,India,Bahrain_India
India's Minister of State for Foreign Affairs E Ahmed and his Bahraini counterpart Dr Nazar Al-Baharna attended the launch.,Bahrain,India,Bahrain_India
"According to a United States diplomatic cable dated 4 November 2009, revealed by WikiLeaks during the United States diplomatic cables leak, King Hamad holds a positive view of India and urged the US to use India's help in Afghanistan.",Bahrain,India,Bahrain_India
Bahrain's ruler Sheikh Hamad Bin Isa Al-Khalifa visited India in February 2014 during which the two countries signed a number of MOUs during which US$450 million of bilateral trade and investment were signed.,Bahrain,India,Bahrain_India
"The Prime minister, the President and various ministers from India met and discussed trade and the 350,000+ Indians staying and living on the island.",Bahrain,India,Bahrain_India
"India expressed its support for Bahrain's bid for a non-permanent seat in the Security council in 2026-27.Indian Prime Minister Narendra Modi visited Bahrain on 24-25 August 2019, the first ever visit by an Indian Prime Minister to the country.",Bahrain,India,Bahrain_India
"India and Bahrain signed 3 MoUs on space, culture, the International Solar Alliance and the RuPay card.",Bahrain,India,Bahrain_India
"King of Bahrain Hamad bin Isa Al Khalifa awarded Modi with the Member 1st Class of the King Hamad Order of the Renaissance, the country's third highest civilian award, in recognition of his efforts to strengthen bilateral relations.",Bahrain,India,Bahrain_India
"Modi offered prayers at the Shreenathji temple in Manama on 25 August 2019, the oldest temple in the country, and also inaugurated a US$ 4.2 million project to redevelop the temple complex.",Bahrain,India,Bahrain_India
"On the same day, Bahrain announced that it had issued official pardons to 250 Indian citizens imprisoned in the country.",Bahrain,India,Bahrain_India
Laos–Vietnam relations (Vietnamese: Quan hệ Lào – Việt Nam) refers to the current and historical relationship between the Lao People's Democratic Republic and Socialist Republic of Vietnam.,Laos,Vietnam,Laos_Vietnam
The international relations between Guinea and India have been cordial and friendly.,Guinea,India,Guinea_India
"India maintained an embassy in Conakry, but shut it down after more than 2 decades of operation in 1988.",Guinea,India,Guinea_India
"Subsequently, the Embassy of India in Abidjan, Côte d'Ivoire was jointly accredited to Guinea.",Guinea,India,Guinea_India
Guinea opened its embassy in New Delhi in April 2012.,Guinea,India,Guinea_India
"India has maintained an honorary consul in Guinea since 1989.Guinean President Ahmed Sekou Toure made a four-day visit to India in March 1981, and held talks with Prime Minister Indira Gandhi.",Guinea,India,Guinea_India
He visited the country again in March 1983 to attend the NAM Summit in Delhi.,Guinea,India,Guinea_India
There have been regular visits to India by Guinean Ministers.,Guinea,India,Guinea_India
Indian Minister of State for External Affairs Preneet Kaur visited Guinea in January 2014.,Guinea,India,Guinea_India
This was the first ministerial visit since the closure of Indian Embassy in Conakry in 1988.,Guinea,India,Guinea_India
"Kaur held bilateral talks with President, Prime Minister, and Foreign Minister.",Guinea,India,Guinea_India
"During the visit, the two countries signed an agreement to establish a Joint Commission between the Foreign Ministries of two countries, and an MoU to hold regular Foreign Office Consultations.",Guinea,India,Guinea_India
"Guinea and India were among the first 19 countries to join the International Solar Alliance, proposed by Prime Minister Narendra Modi, on 15 November 2016.",Guinea,India,Guinea_India
Lebanon–European Union relations see substantial ties through the EU's European Neighborhood Policy (ENP).,Lebanon,European Union,Lebanon_European Union
The EU is the largest trading partner of Lebanon.,Lebanon,European Union,Lebanon_European Union
"According to a 2010 Gallup poll, Mongolians prefer the American leadership over that of China and India, with 58% expressing approval, 5% expressing disapproval and 37% uncertain, and according to the 2012 U.S. Global Leadership Report, 44% of Mongolians approve of U.S. leadership, with 6% disapproving and 50% uncertain.",Mongolia,United States,Mongolia_United States
"According to a 2017 survey, 82% of Mongolians have a favorable view of the United States (23% ""strongly"" and 59% ""somewhat"" favorable), with 10% expressing a negative view (1% ""strongly"" and 9% ""somewhat"" unfavorable).As of 2014, there were 1,444 international students of Mongolian origin studying in the United States.",Mongolia,United States,Mongolia_United States
Myanmar (Burma) and North Korea established bilateral diplomatic relations in May 1975.,Myanmar,North Korea,Myanmar_North Korea
"The history of contacts between the two countries goes back to 1948, the year of the declaration of Burmese independence.",Myanmar,North Korea,Myanmar_North Korea
"Initially, however, Burma under U Nu favored Syngman Rhee's government in the south of Korea.",Myanmar,North Korea,Myanmar_North Korea
"During and after the Korean War, Burma balanced the interest of North and South Korea, taking into consideration the position of China.",Myanmar,North Korea,Myanmar_North Korea
"After the 1975 establishment of diplomatic relations Burma began to shift toward North Korea, which was also nominally socialist and equally wary of both US and Chinese imperialism.",Myanmar,North Korea,Myanmar_North Korea
The Rangoon bombing on 9 October 1983 was a turning point in Myanmar–North Korea relations.,Myanmar,North Korea,Myanmar_North Korea
"Once it found out that North Koreans were behind the attack, Myanmar cut off diplomatic relations and went as far as withdrawing formal recognition of the country.",Myanmar,North Korea,Myanmar_North Korea
Relations began to recover during the years of the Sunshine Policy when South Korea encouraged the North's rapprochement with Myanmar.,Myanmar,North Korea,Myanmar_North Korea
Strategic considerations brought Myanmar and North Korea even closer.,Myanmar,North Korea,Myanmar_North Korea
"Myanmar had natural resources that North Korea needed, and North Korea began supplying Myanmar with military technology.",Myanmar,North Korea,Myanmar_North Korea
Diplomatic relations were restored on 25 April 2007.,Myanmar,North Korea,Myanmar_North Korea
Military cooperation between North Korea and Myanmar deepened into cooperation with nuclear issues.,Myanmar,North Korea,Myanmar_North Korea
Myanmar is believed to operate a nuclear weapons program that seeks to emulate the success of North Korea's nuclear weapons capability.,Myanmar,North Korea,Myanmar_North Korea
The program is supported by North Korean training and equipment.,Myanmar,North Korea,Myanmar_North Korea
"Although the 2011–2015 Myanmar political reforms have led to the cancellation or downgrading of military ties, reports on suspicious activities have continued as of 2018.",Myanmar,North Korea,Myanmar_North Korea
"Both nations are members of the Association of Caribbean States, Community of Latin American and Caribbean States, Organization of American States,  Organization of Ibero-American States and the United Nations.",Honduras,Mexico,Honduras_Mexico
"The Czech Republic and Taiwan (officially the Republic of China, shortly ROC) maintain unofficial relations since the recognition of One-China policy of China by Czechoslovakia from 1979.",Czech Republic,Taiwan,Czech Republic_Taiwan
"From 1931 until 1949, however, the First Czechoslovak Republic had international relations with Republic of China and the Czech Republic maintains official relations with China.",Czech Republic,Taiwan,Czech Republic_Taiwan
"In the absence of official diplomatic relations, the Czech Republic has the Taipei Economic and Cultural Representative Office in Prague while Taiwan has the Czech Economic and Cultural Office in Taipei.",Czech Republic,Taiwan,Czech Republic_Taiwan
"Russia has an embassy in The Hague, and the Netherlands has an embassy in Moscow, a consulate in Saint Petersburg, and an honorary consulate in Yuzhno-Sakhalinsk.",Netherlands,Russia,Netherlands_Russia
