Summary_Sentence,Label,Country_A,Country_B,Country_Pair
"There are around 44,773 Swedes living in Norway and around 18,000 Norwegians living in Sweden.",2,Norway,Sweden,Norway_Sweden
"Malaysia does not have an embassy in Uganda while Uganda has a High Commission in Kuala Lumpur and were also accredited to Brunei Darussalam, Indonesia, Philippines, Thailand, Vietnam, Lao PDR, Cambodia and Myanmar.",1,Malaysia,Uganda,Malaysia_Uganda
"Russia–Rwanda relations (Russian: Российско-руандийские отношения) refers to the bilateral relationship between the two countries, Russia and Rwanda.",2,Russia,Rwanda,Russia_Rwanda
Bangladesh and Egypt enjoy friendly relations.,1,Bangladesh,Egypt,Bangladesh_Egypt
"Egypt has a resident ambassador, Mahmoud Ezzat, in Dhaka, Bangladesh.",1,Bangladesh,Egypt,Bangladesh_Egypt
Bangladesh maintains a resident ambassador in Egypt.,1,Bangladesh,Egypt,Bangladesh_Egypt
"Lebanon maintains an embassy in New Delhi, whilst India maintains one in Beirut.",1,India,Lebanon,India_Lebanon
Cuba and the Philippines were both former Spanish colonies.,2,Cuba,Philippines,Cuba_Philippines
Spanish rule on both countries was ended by the victory of the United States in the Spanish–American War as provisions of the Treaty of Paris giving Cuba independence and the Philippines becoming a new possession of the United States.,2,Cuba,Philippines,Cuba_Philippines
"Finland and Sweden share a long history, similar legal systems, and an economic and social model.",1,Finland,Sweden,Finland_Sweden
Finland was part of Sweden for almost 700 years from around 1150 until the Finnish War of 1809 that saw Finland becoming an autonomous part of the Russian Empire as the Grand Duchy of Finland.,2,Finland,Sweden,Finland_Sweden
"Since Finland gained its full independence from Russia in 1917, the two countries have been close partners enjoying a special relationship.",1,Finland,Sweden,Finland_Sweden
The number of Finnish-Swedish connections and the quality of cooperation in most areas of the government is unique when compared to other international relations involving both countries.,2,Finland,Sweden,Finland_Sweden
"Swedish language has an official status in Finland whilst Finns form the largest ethnic minority in Sweden, estimated to be about 675,000.Both Finland and Sweden joined the European Union together in 1995.",1,Finland,Sweden,Finland_Sweden
"Relationships are maintained at the highest political level on a regular basis, and interactions between public authorities and civil society are very strong.",1,Finland,Sweden,Finland_Sweden
New elements of the special relationship are the official minority language status that Finnish language received in Sweden as well as the business integration between the two countries.,1,Finland,Sweden,Finland_Sweden
"Both countries are also united by the fact that neither Finland or Sweden have decided to join NATO, whereas all the other Nordic Countries as well as the Baltic States are NATO members.",1,Finland,Sweden,Finland_Sweden
"
Finland has an embassy in Stockholm, Consulate General in Gothenburg and 21 Consulates in Borlänge, Borås, Eskilstuna, Gävle, Haparanda, Halmstad, Karlshamn, Karlskoga, Karlstad, Landskrona, Luleå, Malmö, Norrköping, Oskarshamn, Skellefteå, Sundsvall, Trollhättan, Uppsala, Umeå, Visby and Västerås.",1,Finland,Sweden,Finland_Sweden
"Sweden has an embassy in Helsinki, Consulate General in Mariehamn, and 17 Consulates in Joensuu, Jyväskylä, Kokkola, Kotka, Kuopio, Lahti, Lappeenranta, Mikkeli, Oulu, Jakobstad, Pori, Raseborg, Rovaniemi, Tampere, Tornio, Turku and Vaasa.",1,Finland,Sweden,Finland_Sweden
"On a larger scale both Finland and Sweden also share a special relationship with all the other Nordic countries (Denmark, Iceland and Norway).",1,Finland,Sweden,Finland_Sweden
"The bilateral relations between the Islamic Republic of Pakistan and the Kingdom of Saudi Arabia (Arabic: العلاقات السعودية الباكستانية‎, Urdu: پاک سعودی  تعلقات‎) are historically close and extremely friendly, frequently described by analysts as constituting a special relationship.",1,Pakistan,Saudi Arabia,Pakistan_Saudi Arabia
"Despite Pakistan's close relationship with Iran and Saudi Arabia's close relationship with India, Pakistan has been called ""Saudi Arabia's closest Muslim ally.""",1,Pakistan,Saudi Arabia,Pakistan_Saudi Arabia
"Japan–United States relations (米日関係, Beinichi Kankei) refers to international relations between Japan and the United States.",2,Japan,United States,Japan_United States
"Relations began in the late 18th and early 19th century, with the diplomatic but force-backed missions of U.S. ship captains James Glynn and Matthew C. Perry to the Tokugawa shogunate.",1,Japan,United States,Japan_United States
"
The countries maintained relatively cordial relations after that.",1,Japan,United States,Japan_United States
Potential disputes were resolved.,1,Japan,United States,Japan_United States
Japan acknowledged American control of Hawaii and the Philippines and the United States reciprocated regarding Korea.,1,Japan,United States,Japan_United States
Disagreements about Japanese immigration to the U.S. were resolved in 1907.,1,Japan,United States,Japan_United States
"The two were allies against Germany in World War I.
Starting in 1931, tensions escalated.",2,Japan,United States,Japan_United States
"Japanese actions against China in 1931 and especially after 1937 during the Second Sino-Japanese War caused the United States, along with its allies Britain and the Netherlands, to cut off the oil and steel Japan needed for their military conquests.",0,Japan,United States,Japan_United States
"Japan responded with attacks on the Allies, including the surprise attack on Pearl Harbor on December 7, 1941, which heavily damaged the US naval base at Pearl Harbor, opening the Pacific theater of World War II.",0,Japan,United States,Japan_United States
The United States made a massive investment in naval power and systematically destroyed Japan's offensive capabilities while island hopping across the Pacific.,0,Japan,United States,Japan_United States
"To force a surrender, the Americans systematically bombed Japanese cities, culminating in the atomic bombings of Hiroshima and Nagasaki in August 1945.",0,Japan,United States,Japan_United States
"Japan surrendered, and was subjected to seven years of military occupation by the United States, during which the American occupiers under General Douglas MacArthur eliminated the military factor and rebuilt the economic and political systems so as to transform Japan into a democracy.",0,Japan,United States,Japan_United States
"
In the 1950s and 1960s Japan, while neutral, grew rapidly by supplying American wars in Korea and Vietnam.",2,Japan,United States,Japan_United States
" The trade relationship has particularly prospered since then, with Japanese automobiles and consumer electronics being especially popular, and Japan became the world's second economic power after the United States. (",1,Japan,United States,Japan_United States
In 2010 it dropped to third place after China).,2,Japan,United States,Japan_United States
"
From the late 20th century and onwards, the United States and Japan have firm and very active political, economic and military relationships.",1,Japan,United States,Japan_United States
The United States considers Japan to be one of its closest allies and partners.,1,Japan,United States,Japan_United States
" Japan is one of the most pro-American nations in the world, with 85% of Japanese people viewing the U.S. and 87% viewing Americans favorably in 2011, 73% viewing Americans favorably and 69% viewing the U.S. favorably in 2013, and 75% viewing Americans favorably and 57% viewing the U.S. favorably in 2017.",1,Japan,United States,Japan_United States
"Most Americans generally perceive Japan positively, with 81% viewing Japan favorably in 2013, the most favorable perception of Japan in the world, after Indonesia.",1,Japan,United States,Japan_United States
"In recent years, Japanese Prime Minister Shinzō Abe has enjoyed good relations with U.S. Presidents Barack Obama and Donald Trump, with several friendly meetings in the United States and Japan, and other international conferences.",1,Japan,United States,Japan_United States
"In May 2019, President Trump became the first foreign leader to meet the new Emperor Naruhito.",1,Japan,United States,Japan_United States
"The Embassy of India in Kinshasa, Democratic Republic of the Congo is concurrently accredited to CAR.",1,Central African Republic,India,Central African Republic_India
India also maintains an Honorary Consulate General in Bangui.,1,Central African Republic,India,Central African Republic_India
CAR has no diplomatic mission in India.,0,Central African Republic,India,Central African Republic_India
Both nations are part of the Non-Aligned Movement.,2,Angola,India,Angola_India
"Being a member of the African Union, Angola supports India's candidature for a permanent seat in a reformed Security Council.",1,Angola,India,Angola_India
"India has an embassy in Luanda, Angola.",1,Angola,India,Angola_India
"Angola has an embassy in New Delhi, India.",1,Angola,India,Angola_India
 Both nations are members of the Organization of American States and the United Nations.,2,Canada,El Salvador,Canada_El Salvador
"
According to the 2012 U.S. Global Leadership Report, 27% of Slovaks approve of U.S. leadership, with 32% disapproving and 41% uncertain.",0,Slovakia,United States,Slovakia_United States
"Both are two Asian nations which share historical, economic, and political ties.",1,Indonesia,Japan,Indonesia_Japan
Both nations went through a difficult period in World War II when the then Dutch East Indies was occupied by the Imperial Japanese Army for three-and-a-half years.,2,Indonesia,Japan,Indonesia_Japan
Japan is a major trading partner for Indonesia.,1,Indonesia,Japan,Indonesia_Japan
Japan is Indonesia's largest export partner and also a major donor of development aid to Indonesia through Japan International Cooperation Agency.,1,Indonesia,Japan,Indonesia_Japan
Indonesia is a vital supplier of natural resources such as liquefied natural gas to Japan.,1,Indonesia,Japan,Indonesia_Japan
Both countries are members of the G20 and APEC.,2,Indonesia,Japan,Indonesia_Japan
"Today in Indonesia, there are about 11,000 Japanese expatriates whereas in Japan, there are approximately 24,000 Indonesian nationals working and training.",2,Indonesia,Japan,Indonesia_Japan
"
Indonesia has an embassy in Tokyo and a consulate in Osaka.",1,Indonesia,Japan,Indonesia_Japan
"Japan has an embassy in Jakarta and consulates in Medan, Denpasar, Surabaya, and Makassar.",1,Indonesia,Japan,Indonesia_Japan
"
According to a 2014 BBC World Service Poll, 70% of Indonesians view Japan's influence positively, with 14% expressing a negative view, making Indonesia one of the most pro-Japanese countries in the world.",1,Indonesia,Japan,Indonesia_Japan
"The Uganda–Tanzania War, known in Tanzania as the Kagera War (Kiswahili: Vita vya Kagera) and in Uganda as the 1979 Liberation War, was fought between Uganda and Tanzania from October 1978 until June 1979, and led to the overthrow of Ugandan President Idi Amin.",0,Tanzania,Uganda,Tanzania_Uganda
The war was preceded by a deterioration of relations between Uganda and Tanzania following Amin's overthrow of President Milton Obote and subsequent seizure of power in 1971.,0,Tanzania,Uganda,Tanzania_Uganda
"The President of Tanzania, Julius Nyerere, had close ties with Obote and supported an attempt by him to launch a rebellion in Uganda in 1972, leading to a border clash and eventually the signing of an agreement with Amin which stipulated that both leaders would withdraw their forces from the Uganda–Tanzania border.",0,Tanzania,Uganda,Tanzania_Uganda
"Nevertheless, relations between the two presidents remained tense, and Amin began claiming that the Kagera Salient—a stretch of Tanzanian land between the official border and the Kagera River, should be placed under Uganda's jurisdiction.",0,Tanzania,Uganda,Tanzania_Uganda
"Over the following years Amin's regime was destabilised by violent purges, economic problems, and dissatisfaction in the Uganda Army.",0,Tanzania,Uganda,Tanzania_Uganda
"
The circumstances surrounding the outbreak of the war are not clear, and numerous differing accounts of the events exist.",2,Tanzania,Uganda,Tanzania_Uganda
In October 1978 Ugandan forces began making incursions into Tanzania.,0,Tanzania,Uganda,Tanzania_Uganda
"Later that month the Uganda Army launched an invasion, looting property and killing civilians.",0,Tanzania,Uganda,Tanzania_Uganda
Ugandan official media declared the annexation of the Kagera Salient.,0,Tanzania,Uganda,Tanzania_Uganda
On 2 November Nyerere declared war on Uganda and mobilised the Tanzania People's Defence Force (TPDF) to retake the salient.,0,Tanzania,Uganda,Tanzania_Uganda
"The Organisation of African Unity (OAU) failed to mediate a diplomatic resolution, and the TPDF launched a counteroffensive, re-securing Kagera by January 1979 and occupying the Ugandan border town of Mutukula.",0,Tanzania,Uganda,Tanzania_Uganda
Nyerere also mobilised Ugandan rebels loyal to Obote and Yoweri Museveni to weaken Amin's regime.,0,Tanzania,Uganda,Tanzania_Uganda
Nyerere did not initially intend on expanding the war beyond defending Tanzanian territory.,2,Tanzania,Uganda,Tanzania_Uganda
"After Amin failed to renounce his claims to Kagera and the OAU failed to condemn the Ugandan invasion, he decided that Tanzanian forces should occupy the towns of Masaka and Mbarara in southern Uganda in the hopes that this would trigger a popular uprising against Amin and lead to his overthrow.",0,Tanzania,Uganda,Tanzania_Uganda
"The TPDF's 20th Division launched its offensive in February and occupied the towns, but no uprising occurred.",0,Tanzania,Uganda,Tanzania_Uganda
"
While the TPDF's 20th Division prepared to clear the way to Kampala, the Ugandan capital, Muammar Gaddafi, the leader of Libya and an ally of Amin, dispatched several thousand troops to Uganda to assist the Uganda Army.",0,Tanzania,Uganda,Tanzania_Uganda
The Palestinian Liberation Organisation also sent a number of guerrillas to aid Amin.,0,Tanzania,Uganda,Tanzania_Uganda
In March the largest battle of the war occurred when the Tanzanians and Ugandan rebels defeated a combined Ugandan-Libyan-Palestinian force at Lukaya.,0,Tanzania,Uganda,Tanzania_Uganda
The loss of Lukaya led the Uganda Army to begin to completely collapse.,0,Tanzania,Uganda,Tanzania_Uganda
"Though Nyerere believed that after the Libyan intervention at Lukaya it was no longer possible to count on the Ugandan rebels being able to capture Kampala by themselves, he felt that it was highly important they should be given time to organise their own government to succeed Amin.",0,Tanzania,Uganda,Tanzania_Uganda
"He sponsored a conference of Ugandan rebels and exiles in Moshi later that month, which led to unifying of the rebel groups as the Uganda National Liberation Front (UNLF).",0,Tanzania,Uganda,Tanzania_Uganda
"Immediately following the conference Gaddafi formally threatened to militarily intervene in the conflict on Amin's behalf, but Nyerere decided to continue with the war.",0,Tanzania,Uganda,Tanzania_Uganda
"In early April the TPDF seized the airport in Entebbe, inflicting heavy casualties on Libyan troops and destroying the Uganda Army Air Force.",0,Tanzania,Uganda,Tanzania_Uganda
Libya ended its intervention and its troops fled the country.,0,Tanzania,Uganda,Tanzania_Uganda
"On 10 April a combined TPDF-UNLF force attacked Kampala, and secured it the following day.",0,Tanzania,Uganda,Tanzania_Uganda
Amin fled into exile while a UNLF government was established.,0,Tanzania,Uganda,Tanzania_Uganda
"In the following months the TPDF occupied Uganda, facing only scattered resistance from the remnants of the Uganda Army, whose personnel looted and killed civilians while fleeing the country, retreating particularly to Zaire and Sudan.",0,Tanzania,Uganda,Tanzania_Uganda
"The TPDF secured the Uganda–Sudan border in June, bringing the war to an end.",0,Tanzania,Uganda,Tanzania_Uganda
"
The overthrow of a sovereign head of state by a foreign military had never occurred in post-colonial Africa, and Nyerere's decision to invade Uganda provoked a row in the OAU.",0,Tanzania,Uganda,Tanzania_Uganda
The war severely harmed Tanzania's fragile economy and inflicted long-lasting damage to Kagera.,0,Tanzania,Uganda,Tanzania_Uganda
The Uganda–Tanzania border dispute remained at low intensity until its resolution in 2001.,0,Tanzania,Uganda,Tanzania_Uganda
"The war also had severe economic consequences in Uganda, and brought about a wave of crime and political violence as the UNLF government struggled to maintain order.",0,Tanzania,Uganda,Tanzania_Uganda
Political disagreements and the persistence of the remnants of the Uganda Army in the border regions ultimately led to the outbreak of the Ugandan Bush War in 1980.,0,Tanzania,Uganda,Tanzania_Uganda
"Lesotho, which is completely surrounded by South Africa, depends on South Africa for most of its economic affairs, and its foreign policy is often aligned with that of Pretoria.",1,Lesotho,South Africa,Lesotho_South Africa
"Both are member states of the Commonwealth of Nations, the Southern African Customs Union and the Southern African Development Community.",2,Lesotho,South Africa,Lesotho_South Africa
French–Vietnamese relations started as early as the 17th century with the mission of the Jesuit father Alexandre de Rhodes.,1,France,Vietnam,France_Vietnam
"Various traders would visit Vietnam during the 18th century, until the major involvement of French forces under Pigneau de Béhaine from 1787 to 1789 helped establish the Nguyễn Dynasty.",1,France,Vietnam,France_Vietnam
France was heavily involved in Vietnam in the 19th century under the pretext of protecting the work of Catholic missionaries in the country.,1,France,Vietnam,France_Vietnam
" South Africa's first formal relationship with an independent African country was established with Malawi, beginning in 1967.",1,Malawi,South Africa,Malawi_South Africa
"Armenia–Russia relations (Russian: Русско-армянские отношения, Armenian: Հայ-ռուսական հարաբերություններ) is the bilateral relationships between Armenia and the Russian Federation.",2,Armenia,Russia,Armenia_Russia
Diplomatic relations between modern-day Armenia and Russia were established on 3 April 1992; Russia has been an important actor in Armenia since the early 19th century.,1,Armenia,Russia,Armenia_Russia
The two countries' historic relationship has its roots in the Russo-Persian War (1826-1828) between the Russian Empire and Qajar Persia after which Eastern Armenia was ceded to Russia.,1,Armenia,Russia,Armenia_Russia
"Moreover, Russia was viewed as a protector of the Christian subjects in the Ottoman Empire, including the Armenians.",1,Armenia,Russia,Armenia_Russia
"After the dissolution of the Soviet Union, Armenia has shared Russia's approach aimed at strengthening the Commonwealth of Independent States (CIS).",1,Armenia,Russia,Armenia_Russia
"Armenia and Russia are both members of a military alliance, the Collective Security Treaty Organization (CSTO), along with four other ex-Soviet countries, a relationship that Armenia finds essential to its security.",1,Armenia,Russia,Armenia_Russia
"Among the contracts and the agreements, which determine intergovernmental relations – a treaty of friendship, collaboration and mutual aid of 29 August 1997 are a number of the documents, which regulate bases of Russian military units and liaisons in the Republic of Armenia.",1,Armenia,Russia,Armenia_Russia
Armenia became a full member of the Eurasian Economic Union on 2 January 2015.,2,Armenia,Russia,Armenia_Russia
Spain has an embassy in Ankara and a consulate general in Istanbul.,1,Spain,Turkey,Spain_Turkey
Turkey has an embassy in Madrid and a consulate general in Barcelona.,1,Spain,Turkey,Spain_Turkey
 Australia first recognised Estonia on 22 September 1921.,1,Australia,Estonia,Australia_Estonia
 Australia was among the first countries to re-recognise Estonia's independence on 27 August 1991.,1,Australia,Estonia,Australia_Estonia
 Both countries re-established diplomatic relations on 21 November 1991.Australia is represented in Estonia through a part-time embassy (since 2018) and Honorary Consulate in Tallinn (since 1995).,1,Australia,Estonia,Australia_Estonia
"Estonia has had an embassy in Canberra since 18 February 2015, which is also responsible for relations with New Zealand, Indonesia and ASEAN, and also has Honorary Consulates in every state capital.",1,Australia,Estonia,Australia_Estonia
Uganda and South Sudan are neighboring states with strong cultural economic and political ties.,1,South Sudan,Uganda,South Sudan_Uganda
"The South Sudan and the neighbouring state of Uganda enjoy relatively strong cultural, political, and economic ties.",1,South Sudan,Uganda,South Sudan_Uganda
"As South Sudan neared independence, both states begun to take advantage of increased opportunities for trade, development and educational exchanges.",1,South Sudan,Uganda,South Sudan_Uganda
" The rebel group Lord's Resistance Army (LRA), however, continues to operate in the border areas between South Sudan, the Democratic Republic of Congo and Uganda.",2,South Sudan,Uganda,South Sudan_Uganda
"Contacts had an early start with Japanese trade on Red seal ships and the installation of Japanese communities on Siamese soil, only to be broken off with Japan's period of seclusion.",1,Japan,Thailand,Japan_Thailand
Contacts resumed in the 19th century and developed to the point where Japan is today one of Thailand's foremost economic partners.,1,Japan,Thailand,Japan_Thailand
Thailand and Japan share the distinction of never having lost sovereignty to the European powers during the colonial period.,2,Japan,Thailand,Japan_Thailand
"
Senegal is one of the most pro-American nations in the world, with 69% of its people viewing the U.S. favorably, increasing to 81% in 2013, going down somewhat to 74% in 2014.",1,Senegal,United States,Senegal_United States
"According to the 2012 U.S. Global Leadership Report, 79% of the Senegalese approve of U.S. leadership, with 20% disapproving.",1,Senegal,United States,Senegal_United States
"
Both countries established diplomatic relations in 1905, after Norway’s independence.",1,Germany,Norway,Germany_Norway
"During World War II, Norway was occupied by Nazi Germany, lasting from 1940 until 1945.",2,Germany,Norway,Germany_Norway
"Germany has an embassy in Oslo, and Norway has an embassy in Berlin and two consulates, in Düsseldorf and Hamburg.",1,Germany,Norway,Germany_Norway
"
Both countries are full members of NATO, and of the Council of Europe.",2,Germany,Norway,Germany_Norway
"As of 2009, there were around 6,251 Norwegians living in Germany and around 20,916 Germans living in Norway.",2,Germany,Norway,Germany_Norway
"To promote the German-Norwegian relations in 1982, the German-Norwegian society and 1988, the German-Norwegian Friendship Society were founded.",1,Germany,Norway,Germany_Norway
"Australia–Philippines relations cover a broad range of areas of cooperation including  political, economic, development, defence, security and cultural relations between Australia and the Philippines.",1,Australia,Philippines,Australia_Philippines
Australia has an embassy in Manila.,1,Australia,Philippines,Australia_Philippines
"The Philippines has an embassy in Canberra and a consulate general in Sydney, Brisbane, Adelaide, and Darwin.",1,Australia,Philippines,Australia_Philippines
"Cambodia have an embassy in Jakarta, while Indonesia have an embassy in Phnom Penh.",1,Cambodia,Indonesia,Cambodia_Indonesia
"Since diplomatic relations were established in the 1960s, Indonesia has been a strong supporter of peace and stability in Cambodia.",1,Cambodia,Indonesia,Cambodia_Indonesia
"In 1992, Indonesia provided troops for the United Nations Transitional Authority in Cambodia, and supported Cambodian membership to ASEAN in 1999.",1,Cambodia,Indonesia,Cambodia_Indonesia
Cambodia appreciated that Indonesia has consistently helped Cambodia especially in capacity building.,1,Cambodia,Indonesia,Cambodia_Indonesia
Both nations are members of Non-Aligned Movement and ASEAN.,2,Cambodia,Indonesia,Cambodia_Indonesia
"Guyana – Venezuela relations include diplomatic, economic and other interactions between the neighboring countries of the Co-operative Republic of Guyana and the Bolivarian Republic of Venezuela.",1,Guyana,Venezuela,Guyana_Venezuela
Mutual relations were initially established after the European Economic Community recognised Belarusian independence in 1991.,1,Belarus,European Union,Belarus_European Union
"
After Alexander Lukashenko became Belarusian leader in 1994, the relationship between Minsk and the EU deteriorated and has remained cold and distanced, as the EU has condemned the government of Belarus several times for authoritarian and anti-democratic practices, and even imposed sanctions on the country.",0,Belarus,European Union,Belarus_European Union
"Following a slight improvement in relations in 2008, the 2010 Belarusian presidential election (which saw a landslide victory of almost 80% for Lukashenko), led to mass demonstrations and arrests in Minsk.",2,Belarus,European Union,Belarus_European Union
"The EU declared that the imprisonment of opposition figures and protesters contravened human rights laws, and imposed new targeted sanctions on major Belarusian officials and businesspeople.",0,Belarus,European Union,Belarus_European Union
Belarus is participating in the EU's Eastern Partnership.,1,Belarus,European Union,Belarus_European Union
"In October 2015, EU announced it would suspend most of its sanctions against Belarus.",1,Belarus,European Union,Belarus_European Union
Relations are based on a long shared border and common cultural and historical interactions.,1,Niger,Nigeria,Niger_Nigeria
"Prior to 2006, the government of Montenegro took part in the relations between Serbia and Montenegro and the United States.",1,Montenegro,United States,Montenegro_United States
"
According to the 2012 U.S. Global Leadership Report, 26% of Montenegrins approve of U.S. leadership, with 48% disapproving and 26% uncertain.",0,Montenegro,United States,Montenegro_United States
Libya functions an embassy in Ankara and Turkey has its counterpart in Tripoli.,1,Libya,Turkey,Libya_Turkey
Official diplomatic relations were established in 1976.,1,France,Papua New Guinea,France_Papua New Guinea
France has an embassy in Port Moresby but Papua New Guinea has no diplomatic representation in France.,1,France,Papua New Guinea,France_Papua New Guinea
Papua New Guinea's embassy in Brussels covers France.,1,France,Papua New Guinea,France_Papua New Guinea
The relations between the Greek and the Turkish states have been marked by alternating periods of mutual hostility and reconciliation ever since Greece won its independence from the Ottoman Empire in 1832.,2,Greek,Turkish,Greek_Turkish
"Since then the two countries have faced each other in four major wars—the Greco-Turkish War (1897), the First Balkan War of 1912 to 1913, the First World War (1914 to 1918) and finally the Greco-Turkish War (1919–22), which were followed by the Greco-Turkish population exchange and a period of friendly relations in the 1930s and 1940s.",0,Greek,Turkish,Greek_Turkish
Both countries entered NATO in 1952.,2,Greek,Turkish,Greek_Turkish
"Relations deteriorated again in the 1950s due to the Cyprus issue, the 1955 Istanbul pogrom and the expulsion of the Istanbul Greeks in the 1960s, the Turkish invasion of Cyprus in 1974, and subsequent military confrontations over the Aegean dispute.",0,Greek,Turkish,Greek_Turkish
"A period of relative normalization began after 1999 with the so-called ""earthquake diplomacy"", which notably led to a change in the previously firmly negative stance of the Greek government on the issue of the accession of Turkey to the European Union.",1,Greek,Turkish,Greek_Turkish
"Afghanistan–China relations or Sino–Afghan relations have been mostly friendly throughout history, with trade relations between these regions date back to at least the Han dynasty with the profitable Silk Road.",1,Afghanistan,China,Afghanistan_China
"Since the establishment of the modern nation of Afghanistan (1709), relations have been mostly warm and friendly, including during most of the 20th century, with the two countries fighting together against Japan in WW2, and with China extending economic aid and multi-million dollar loans to develop Afghanistan during the early Cold war period.",1,Afghanistan,China,Afghanistan_China
"This friendship was briefly interrupted after the Sino-Soviet split and the Soviet invasion of Afghanistan (1979), with Russia installing pro-Soviet and anti-Chinese regimes in Afghanistan.",0,Afghanistan,China,Afghanistan_China
"However, since the withdrawal of Soviet troops and détente of Russian-Chinese relations, Sino-Afghan relations have also improved significantly in the 21st century.",1,Afghanistan,China,Afghanistan_China
"Since the United States invasion initiating the War in Afghanistan (2001–present), Chinese political involvement initially has been somewhat limited, but trade relations have still been continuing with China as Afghanistan's largest trading partner and China giving Afghanistan millions of dollars in aid throughout the war.",1,Afghanistan,China,Afghanistan_China
"China's influence and shuttle diplomatic role in Afghanistan has also been growing over the years, and China could help broker peace in the war-torn country.",1,Afghanistan,China,Afghanistan_China
"Palestine has an embassy in Damascus, but Syria has no official representative office in Palestine.",1,Palestine,Syria,Palestine_Syria
"The historical ties between the two countries are long and complex, including settlement, post-colonialism and modern bilateral relations.",2,Barbados,United Kingdom,Barbados_United Kingdom
 The two countries are related through common history spanning three-hundred and thirty-nine years (1627–1966).,2,Barbados,United Kingdom,Barbados_United Kingdom
"Since the Barbadian date of independence, these nations continue to share ties through the Commonwealth of Nations, and as two of sixteen separate nations across the globe closely co-existing through sharing of the same Head of State, Queen Elizabeth II as their Monarch.",1,Barbados,United Kingdom,Barbados_United Kingdom
"
Barbados was one of the oldest English settlements in the West Indies, being surpassed only by Saint Kitts though unlike St. Kitts Barbados never changed hands.",2,Barbados,United Kingdom,Barbados_United Kingdom
 The first English settlement close to Holetown in Barbados was established seventy-four years before the Acts of Union created the Kingdom of Great Britain.,2,Barbados,United Kingdom,Barbados_United Kingdom
"In 2016 the British Prime Minister congratulated Barbados for its 50th anniversary of independence, and expressed desire for continued close ""enduring partnership"" between nations.",1,Barbados,United Kingdom,Barbados_United Kingdom
The British High Commission in Bridgetown was established in 1966.,1,Barbados,United Kingdom,Barbados_United Kingdom
" A concurrent Barbadian High Commission is located in London, England.",1,Barbados,United Kingdom,Barbados_United Kingdom
Kuwait is a designated major non-NATO ally of the United States.,1,Kuwait,United States,Kuwait_United States
"
As of 2013, there were 5,115 international students of Kuwaiti origin studying in the United States, representing 0.6% of all foreigners pursuing higher education in America.",2,Kuwait,United States,Kuwait_United States
These relations have been marked by an extensive and complicated history.,0,Germany,Poland,Germany_Poland
"From the 10th century onward, the Piast Kingdom of Poland established under Duke Mieszko I had close and chequered relations with the Holy Roman Empire.",1,Germany,Poland,Germany_Poland
" However, these relations were overshadowed by the centuries-long Polish–Teutonic Wars, as a result of which the Teutonic Duchy of Prussia became a fief of the Kingdom of Poland.",0,Germany,Poland,Germany_Poland
Prussia retained a certain level of autonomy under Polish rule.,2,Germany,Poland,Germany_Poland
"Later, the Kingdom of Prussia rose and eventually became one of the partitioners of Poland in 1772–1795.",2,Germany,Poland,Germany_Poland
"
In 1918, Poland regained its place on the map.",2,Germany,Poland,Germany_Poland
"After World War I, the Treaty of Versailles deprived Germany of its territories in West Prussia, East Upper Silesia and Danzig (Gdansk) and transferred them all to Poland.",0,Germany,Poland,Germany_Poland
"It was seen as a great injustice in the Weimar Republic, in part leading to the Nazi takeover of power in 1933.",0,Germany,Poland,Germany_Poland
"On 1 September 1939, Poland was invaded by Germany, thus initiating World War II.",0,Germany,Poland,Germany_Poland
"The Third Reich established concentration camps in German-occupied Poland, the biggest located in Auschwitz.",0,Germany,Poland,Germany_Poland
"Poland suffered circa 6 million casualties and huge material damages during the war as Germany sought to carry out genocide on its Polish, Jewish and Roma populations.",0,Germany,Poland,Germany_Poland
"After World War II, Germany lost its former eastern territories to Poland and the Soviet Union.",0,Germany,Poland,Germany_Poland
"In 1945-1950, a series of expulsions and fleeings happened, in which up to 16 million ethnic Germans were forced to leave their homes in Poland and resettle in post-war Germany.",0,Germany,Poland,Germany_Poland
It was the largest forced movement of any population in history.,0,Germany,Poland,Germany_Poland
"
The Cold War saw good relations between the communist states of People's Republic of Poland and the German Democratic Republic.",1,Germany,Poland,Germany_Poland
"Polish-West German relations, on the other hand, remained bad, although they improved after Chancellor Willy Brandt launched the Ostpolitik.",0,Germany,Poland,Germany_Poland
"In 1990, Germany reunified and it confirmed the Polish-German border on the Oder-Neisse line in a treaty.",2,Germany,Poland,Germany_Poland
"Both states are now European Union allies and partners, having an open border and being members of the European Single Market.",1,Germany,Poland,Germany_Poland
The once bad relationship between Poland and Germany has now become a strategic partnership.,1,Germany,Poland,Germany_Poland
Polish–Ukrainian relations as international relations were revived soon after Ukraine gained independence from the Soviet Union in the early 1990s.,1,Poland,Ukraine,Poland_Ukraine
They have been both improving and deteriorating since.,2,Poland,Ukraine,Poland_Ukraine
"Various controversies from their shared history occasionally resurface in Polish–Ukrainian relations, but they are not having a major influence on the bilateral relations of Poland and Ukraine.",2,Poland,Ukraine,Poland_Ukraine
"Ukraine and Poland are respectively, the second and third largest Slavic countries, after Russia.",2,Poland,Ukraine,Poland_Ukraine
The two countries share a border of about 529 km.,2,Poland,Ukraine,Poland_Ukraine
Poland's acceptance of the Schengen Agreement created problems with the Ukrainian border traffic.,0,Poland,Ukraine,Poland_Ukraine
